r_eq,s_fill,s_open
5.1529,0.751,1.337
4.8165,0.701,1.429
4.9239,0.514,1.968
4.803,0.531,1.891
6.1325,0.695,1.444
6.4748,0.782,1.282
5.7777,0.603,1.664
6.9154,0.564,1.774
4.9428,0.625,1.609
5.6511,0.735,1.367
4.9584,0.575,1.748
4.8352,0.849,1.18
