bin,logMstar,s,HMG_SIS,MOND_SIS,CDM_SIS,CDM_SHMR_SIS,HMG_FWD,MOND_FWD,CDM_FWD,CDM_SHMR_FWD,rank_changed
1,10.176091259055681,0.2724,0.3308275230900585,1.4590297256516465,3.6343574144840667,3.7867477514857337,0.46274869119438816,1.4676935807089364,3.2960201286152255,3.214247672588514,False
2,10.505149978319906,0.4957,1.522443049282826,7.976962830477584,5.868800504997575,14.100042598080625,2.5970442506191964,7.901708852991415,5.376517582069126,15.51246113986659,False
3,10.662757831681574,0.5285,0.9010740617415517,10.666511742638562,3.6016644837392517,7.968286797156627,0.8759969272665301,10.562386174199778,3.969942786546298,8.854108372483653,False
4,10.949390006644913,0.4268,1.5229130179295431,6.867316170837586,5.628034241478139,39.2083340611578,2.1219595646080713,6.708499176811481,5.813335691109643,45.22924824061605,False
