r_eq,s_fill,s_open
4.8554,1.0,1.0
5.1483,0.41,2.533
7.3778,0.488,2.038
6.4622,0.556,1.814
3.7114,1.0,1.0
3.6997,0.335,3.01
3.7345,0.802,1.246
4.7364,0.918,1.088
3.5413,1.0,1.0
3.7689,1.0,1.0
