# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    7.5424e-01    -5.6146e-02    1.4841e-01    9.8531e-01    7.8021e-02    4.6024e+01    4.6652e+01
2.4388e-15    1.4789e+00    -4.6450e-01    1.9260e-01    9.8531e-01    7.8021e-02    2.7199e+01    2.7442e+01
4.3030e-15    2.0532e+00    9.5528e-02    2.4952e-01    9.8531e-01    7.8021e-02    1.5961e+01    1.5860e+01
7.5922e-15    2.8357e+00    5.2272e-01    3.2331e-01    9.8531e-01    7.8021e-02    9.3560e+00    9.1501e+00
1.3396e-14    3.8411e+00    -1.8193e-01    4.2050e-01    9.8531e-01    7.8021e-02    5.4736e+00    5.2975e+00
2.3635e-14    5.3733e+00    6.6464e-01    5.4872e-01    9.8531e-01    7.8021e-02    3.1949e+00    3.0733e+00
4.1702e-14    6.9807e+00    -5.2482e-01    7.1831e-01    9.8531e-01    7.8021e-02    1.8577e+00    1.7806e+00
7.3580e-14    9.5335e+00    5.9458e-01    9.4190e-01    9.8531e-01    7.8021e-02    1.0772e+00    1.0295e+00
1.2982e-13    1.0975e+01    4.6308e-01    1.2376e+00    9.8531e-01    7.8021e-02    6.2366e-01    5.9576e-01
2.2906e-13    1.1093e+01    -2.0338e+00    1.6270e+00    9.8531e-01    7.8021e-02    3.6025e-01    3.4354e-01
4.0416e-13    2.0300e+01    3.1384e-01    2.1348e+00    9.8531e-01    7.8021e-02    2.0901e-01    1.9907e-01
7.1310e-13    2.2400e+01    -6.4726e-01    2.8124e+00    9.8531e-01    7.8021e-02    1.2047e-01    1.1479e-01
1.2582e-12    2.6265e+01    -1.0084e-03    3.6948e+00    9.8531e-01    7.8021e-02    6.9781e-02    6.6474e-02
2.2200e-12    3.5453e+01    -5.7443e-01    4.8649e+00    9.8531e-01    7.8021e-02    4.0272e-02    3.8384e-02
3.9169e-12    4.4250e+01    -1.0844e+01    6.4391e+00    9.8531e-01    7.8021e-02    2.3000e-02    2.1934e-02
