# r_Mpc  log10_gbar  log10_gobs_lo  log10_gobs_hi
# # Bin 1: filtrat (no subnewtonia, amplada<0.70 dex)
7.077381e-02 -1.256426e+01 -1.236617e+01 -1.230193e+01
1.015511e-01 -1.287789e+01 -1.213311e+01 -1.189241e+01
1.457125e-01 -1.319151e+01 -1.179576e+01 -1.168748e+01
2.090784e-01 -1.350514e+01 -1.175248e+01 -1.162581e+01
3.000000e-01 -1.381876e+01 -1.185030e+01 -1.163761e+01
4.304606e-01 -1.413239e+01 -1.205944e+01 -1.173564e+01
6.176545e-01 -1.444601e+01 -1.238801e+01 -1.183146e+01
8.862531e-01 -1.475963e+01 -1.240557e+01 -1.197562e+01
1.271657e+00 -1.507326e+01 -1.267928e+01 -1.212680e+01
