# Radius(m/s^2)  ESD_t(h70*M_sun/pc^2)  ESD_x(h70*M_sun/pc^2)  error(h70*M_sun/pc^2)  bias(1+K)  variance(e_s)  wk^2  w^2k^2
1.3822e-15    9.8646e-01    -1.2093e-01    1.4230e-01    9.8531e-01    7.8021e-02    5.0352e+01    5.1340e+01
2.4388e-15    1.7332e+00    -4.0333e-01    1.8402e-01    9.8531e-01    7.8021e-02    2.9765e+01    3.0000e+01
4.3030e-15    2.5305e+00    -1.6796e-01    2.3910e-01    9.8531e-01    7.8021e-02    1.7414e+01    1.7336e+01
7.5922e-15    3.2400e+00    -2.2668e-01    3.1099e-01    9.8531e-01    7.8021e-02    1.0170e+01    1.0002e+01
1.3396e-14    4.0028e+00    -1.4495e-01    4.0502e-01    9.8531e-01    7.8021e-02    5.9205e+00    5.7499e+00
2.3635e-14    5.6810e+00    7.0633e-01    5.2979e-01    9.8531e-01    7.8021e-02    3.4390e+00    3.3195e+00
4.1702e-14    7.2200e+00    -5.5710e-01    6.9449e-01    9.8531e-01    7.8021e-02    1.9922e+00    1.9143e+00
7.3580e-14    8.7312e+00    1.1805e-01    9.1289e-01    9.8531e-01    7.8021e-02    1.1489e+00    1.1001e+00
1.2982e-13    1.0575e+01    1.1982e+00    1.1998e+00    9.8531e-01    7.8021e-02    6.6455e-01    6.3571e-01
2.2906e-13    1.2271e+01    -9.4169e-01    1.5787e+00    9.8531e-01    7.8021e-02    3.8302e-01    3.6561e-01
4.0416e-13    1.7359e+01    -9.5759e-01    2.0752e+00    9.8531e-01    7.8021e-02    2.2147e-01    2.1123e-01
7.1310e-13    2.3047e+01    9.2212e-01    2.7377e+00    9.8531e-01    7.8021e-02    1.2715e-01    1.2117e-01
1.2582e-12    3.0002e+01    3.8037e+00    3.6108e+00    9.8531e-01    7.8021e-02    7.3096e-02    6.9664e-02
2.2200e-12    3.6277e+01    -4.4140e+00    4.7552e+00    9.8531e-01    7.8021e-02    4.2190e-02    4.0250e-02
3.9169e-12    4.7017e+01    3.0252e+00    6.3161e+00    9.8531e-01    7.8021e-02    2.3915e-02    2.2817e-02
