# X-COP per-point radial acceleration relation (RAR) dataset
# Twelve X-COP galaxy clusters; Einasto (EIN3) hydrostatic mass profiles.
#
# Source : Monjo 2025, ApJ 981, 195 (DOI 10.3847/1538-4357/adb723), from the X-COP Einasto
#          (EIN3) hydrostatic mass profiles (Eckert et al. 2022, A&A 662, A123; X-COP).
#
# Column definitions (exactly as used for the published chi^2 in fig2_table2.py):
#   r_kpc         = R_REF                                              [kpc]
#   gbar_si       = GN*Msol*MGAS         / (R_REF*kpc)^2               [m/s^2]  (gas-only baryonic Newtonian)
#   gobs_si       = GN*Msol*(M_DM+MGAS)  / (R_REF*kpc)^2               [m/s^2]  (total hydrostatic accel.)
#   sigma_gobs_si = (obs_HI - obs_LO)/2                                [m/s^2]
#       obs_HI = GN*Msol*(M_DM_HI+MGAS_HI)/(R_IN *kpc)^2 ; obs_LO = GN*Msol*(M_DM_LO+MGAS_LO)/(R_OUT*kpc)^2
#   FITS mass columns MGAS, M_DM (and _HI/_LO) are in solar masses; multiplied by Msol -> kg.
#   Values are already SI (m/s^2): GN[SI]*mass[kg]/radius[m]^2. No further unit rescaling. (a0 = 1.2e-10 m/s^2)
#
# Constants (verbatim from hmg_common.py):
#   c0=3e8 m/s ; Msol=1.9891e30 kg ; GN=6.674e-11 SI ; kpc=3261.8116478174*365*24*3600*c0 m = 3.085935e+19 m
#
# Window : only bins with R_REF >= 1000 kpc (lgR2 mask in fig2_table2.py), which define the
#          Table 2 published chi^2; per-cluster degrees of freedom df = N - 1.
# Grouping: keep per-cluster; fit each cluster separately. N per cluster:
#   A85      N=28
#   A644     N=22
#   A1644    N=27
#   A1795    N=29
#   A2029    N=31
#   A2142    N=31
#   A2255    N=29
#   A2319    N=29
#   A3158    N=26
#   A3266    N=27
#   RXC1825  N=26
#   ZW1215   N=25
# Total N = 330 over 12 clusters.
# Generated: 2026-08-06
#
# cluster  r_kpc  gbar_si  gobs_si  sigma_gobs_si
A1644       1960.3652   3.219455e-12   2.585686e-11   1.860336e-12
A1644       2040.3767   3.113635e-12   2.487201e-11   1.828233e-12
A1644       2123.6538   3.009958e-12   2.391702e-11   1.797527e-12
A1644       2210.3296   2.908726e-12   2.298338e-11   1.769028e-12
A1644       2300.5432   2.809814e-12   2.208314e-11   1.742013e-12
A1644       2394.4390   2.713382e-12   2.121318e-11   1.714252e-12
A1644       2492.1667   2.619812e-12   2.036261e-11   1.686025e-12
A1644       2593.8835   2.528722e-12   1.953623e-11   1.657057e-12
A1644       2699.7517   2.440251e-12   1.873966e-11   1.631209e-12
A1644       2809.9407   2.354678e-12   1.797432e-11   1.603553e-12
A1644       2924.6272   2.271920e-12   1.722864e-11   1.576055e-12
A1795       1008.2419   6.821667e-12   6.112524e-11   3.348728e-12
A1795       1049.7303   6.597307e-12   5.836755e-11   3.256088e-12
A1795       1092.9259   6.373642e-12   5.569788e-11   3.165273e-12
A1795       1137.8989   6.150975e-12   5.310988e-11   3.065815e-12
A1795       1184.7227   5.929277e-12   5.061109e-11   2.975267e-12
A1795       1233.4730   5.709146e-12   4.819810e-11   2.886279e-12
A1795       1284.2295   5.490583e-12   4.586568e-11   2.799411e-12
A1795       1337.0746   5.274219e-12   4.361514e-11   2.713604e-12
A1795       1392.0941   5.060880e-12   4.144746e-11   2.627509e-12
A1795       1449.3777   4.850337e-12   3.935737e-11   2.542199e-12
A1795       1509.0186   4.643418e-12   3.734478e-11   2.462653e-12
A1795       1571.1135   4.440569e-12   3.541169e-11   2.381551e-12
A1795       1635.7635   4.241919e-12   3.355737e-11   2.305021e-12
A1795       1703.0740   4.048541e-12   3.177634e-11   2.226435e-12
A1795       1773.1542   3.860457e-12   3.007282e-11   2.149606e-12
A1795       1846.1182   3.677350e-12   2.843606e-11   2.072056e-12
A1795       1922.0845   3.500553e-12   2.687297e-11   1.996009e-12
A1795       2001.1768   3.329280e-12   2.537642e-11   1.923086e-12
A1795       2083.5237   3.164211e-12   2.395055e-11   1.850348e-12
A1795       2169.2590   3.005557e-12   2.258817e-11   1.782096e-12
A1795       2258.5225   2.852490e-12   2.129202e-11   1.713590e-12
A1795       2351.4587   2.706148e-12   2.006221e-11   1.646345e-12
A1795       2448.2195   2.566129e-12   1.888847e-11   1.580117e-12
A1795       2548.9619   2.432477e-12   1.777384e-11   1.516647e-12
A1795       2653.8496   2.305102e-12   1.671408e-11   1.455094e-12
A1795       2763.0535   2.183926e-12   1.570909e-11   1.393857e-12
A1795       2876.7510   2.068156e-12   1.475536e-11   1.334134e-12
A1795       2995.1272   1.958542e-12   1.385569e-11   1.276481e-12
A1795       3118.3743   1.854667e-12   1.300278e-11   1.220370e-12
A2029       1001.0552   1.045003e-11   9.027061e-11   4.734571e-12
A2029       1042.7000   1.014108e-11   8.679801e-11   4.605731e-12
A2029       1086.0770   9.837310e-12   8.343528e-11   4.477658e-12
A2029       1131.2587   9.538720e-12   8.016639e-11   4.355597e-12
A2029       1178.3198   9.245114e-12   7.699184e-11   4.231646e-12
A2029       1227.3389   8.956460e-12   7.390256e-11   4.118024e-12
A2029       1278.3971   8.672371e-12   7.090392e-11   4.005054e-12
A2029       1331.5793   8.393385e-12   6.799647e-11   3.897328e-12
A2029       1386.9740   8.118828e-12   6.517214e-11   3.788615e-12
A2029       1444.6732   7.848433e-12   6.244171e-11   3.689191e-12
A2029       1504.7727   7.582441e-12   5.979607e-11   3.591152e-12
A2029       1567.3724   7.320744e-12   5.723839e-11   3.485295e-12
A2029       1632.5763   7.063130e-12   5.476344e-11   3.392644e-12
A2029       1700.4927   6.810055e-12   5.236853e-11   3.297113e-12
A2029       1771.2345   6.561489e-12   5.005499e-11   3.201747e-12
A2029       1844.9191   6.316757e-12   4.782168e-11   3.109055e-12
A2029       1921.6692   6.076553e-12   4.566902e-11   3.019385e-12
A2029       2001.6121   5.840951e-12   4.358482e-11   2.937568e-12
A2029       2084.8806   5.609691e-12   4.157451e-11   2.852972e-12
A2029       2171.6133   5.383477e-12   3.963762e-11   2.772694e-12
A2029       2261.9539   5.162246e-12   3.777265e-11   2.690785e-12
A2029       2356.0530   4.945651e-12   3.597425e-11   2.612127e-12
A2029       2454.0664   4.734291e-12   3.424494e-11   2.532794e-12
A2029       2556.1575   4.528340e-12   3.257649e-11   2.450269e-12
A2029       2662.4956   4.328022e-12   3.097734e-11   2.371265e-12
A2029       2773.2573   4.133349e-12   2.944093e-11   2.295454e-12
A2029       2888.6270   3.944425e-12   2.797063e-11   2.220826e-12
A2029       3008.7961   3.760816e-12   2.655657e-11   2.155695e-12
A2029       3133.9644   3.583856e-12   2.520152e-11   2.083181e-12
A2029       3264.3396   3.412219e-12   2.390982e-11   2.018551e-12
A2029       3400.1384   3.247186e-12   2.266429e-11   1.954293e-12
