# r_Mpc  log10_gbar  log10_gobs
2.395720e-02 -1.067249e+01 -1.213209e+01
3.437544e-02 -1.098612e+01 -1.198565e+01
7.077381e-02 -1.161337e+01 -1.180046e+01
1.015511e-01 -1.192699e+01 -1.146269e+01
1.457125e-01 -1.224061e+01 -1.129570e+01
2.090784e-01 -1.255424e+01 -1.117019e+01
3.000000e-01 -1.286786e+01 -1.120414e+01
4.304606e-01 -1.318149e+01 -1.139446e+01
6.176545e-01 -1.349511e+01 -1.148709e+01
8.862531e-01 -1.380874e+01 -1.172942e+01
1.271657e+00 -1.412236e+01 -1.184540e+01
1.824661e+00 -1.443598e+01 -1.200614e+01
2.618148e+00 -1.474961e+01 -1.229991e+01
3.756699e+00 -1.506323e+01 -1.400333e+01
