# r_Mpc  log10_gbar  log10_gobs
2.395720e-02 -1.085578e+01 -1.272841e+01
3.437544e-02 -1.116940e+01 -1.251743e+01
4.932424e-02 -1.148303e+01 -1.231446e+01
7.077381e-02 -1.179665e+01 -1.179844e+01
1.015511e-01 -1.211028e+01 -1.157453e+01
1.457125e-01 -1.242390e+01 -1.135120e+01
2.090784e-01 -1.273752e+01 -1.121532e+01
3.000000e-01 -1.305115e+01 -1.119683e+01
4.304606e-01 -1.336477e+01 -1.129509e+01
6.176545e-01 -1.367840e+01 -1.143130e+01
8.862531e-01 -1.399202e+01 -1.160602e+01
1.271657e+00 -1.430565e+01 -1.182366e+01
1.824661e+00 -1.461927e+01 -1.205090e+01
2.618148e+00 -1.493289e+01 -1.249134e+01
