# r_Mpc  log10_gbar  log10_gobs
2.395720e-02 -1.108647e+01 -1.333322e+01
3.437544e-02 -1.140009e+01 -1.310023e+01
4.932424e-02 -1.171372e+01 -1.223544e+01
7.077381e-02 -1.202734e+01 -1.204155e+01
1.015511e-01 -1.234097e+01 -1.173765e+01
1.457125e-01 -1.265459e+01 -1.151576e+01
2.090784e-01 -1.296822e+01 -1.138285e+01
3.000000e-01 -1.328184e+01 -1.137424e+01
4.304606e-01 -1.359546e+01 -1.147819e+01
6.176545e-01 -1.390909e+01 -1.162230e+01
8.862531e-01 -1.422271e+01 -1.179162e+01
1.271657e+00 -1.453634e+01 -1.197077e+01
1.824661e+00 -1.484996e+01 -1.222196e+01
2.618148e+00 -1.516359e+01 -1.277916e+01
