# r_Mpc  log10_gbar  log10_gobs_lo  log10_gobs_hi
# # Bin 2: filtrat (no subnewtonia, amplada<0.70 dex)
1.015511e-01 -1.233623e+01 -1.165698e+01 -1.161553e+01
1.457125e-01 -1.264986e+01 -1.161310e+01 -1.152075e+01
2.090784e-01 -1.296348e+01 -1.150612e+01 -1.144067e+01
3.000000e-01 -1.327711e+01 -1.151824e+01 -1.142837e+01
4.304606e-01 -1.359073e+01 -1.175892e+01 -1.151713e+01
6.176545e-01 -1.390436e+01 -1.185320e+01 -1.162619e+01
8.862531e-01 -1.421798e+01 -1.222356e+01 -1.176757e+01
2.618148e+00 -1.515885e+01 -1.299315e+01 -1.251057e+01
