# r_Mpc  log10_gbar  log10_gobs
2.395720e-02 -1.171533e+01 -1.286245e+01
3.437544e-02 -1.202895e+01 -1.290779e+01
4.932424e-02 -1.234257e+01 -1.261629e+01
7.077381e-02 -1.265620e+01 -1.225852e+01
1.015511e-01 -1.296982e+01 -1.201013e+01
1.457125e-01 -1.328345e+01 -1.182676e+01
2.090784e-01 -1.359707e+01 -1.177416e+01
3.000000e-01 -1.391070e+01 -1.187985e+01
4.304606e-01 -1.422432e+01 -1.209470e+01
6.176545e-01 -1.453794e+01 -1.231005e+01
8.862531e-01 -1.485157e+01 -1.256725e+01
1.271657e+00 -1.516519e+01 -1.280929e+01
1.824661e+00 -1.547882e+01 -1.320869e+01
2.618148e+00 -1.579244e+01 -1.382110e+01
