# r_Mpc  log10_gbar  log10_gobs
3.437544e-02 -1.097523e+01 -1.315925e+01
4.932424e-02 -1.128885e+01 -1.183256e+01
7.077381e-02 -1.160247e+01 -1.165078e+01
1.015511e-01 -1.191610e+01 -1.141364e+01
1.457125e-01 -1.222972e+01 -1.119352e+01
2.090784e-01 -1.254335e+01 -1.103871e+01
3.000000e-01 -1.285697e+01 -1.101080e+01
4.304606e-01 -1.317060e+01 -1.109334e+01
6.176545e-01 -1.348422e+01 -1.120780e+01
8.862531e-01 -1.379785e+01 -1.135063e+01
1.271657e+00 -1.411147e+01 -1.153736e+01
1.824661e+00 -1.442509e+01 -1.178751e+01
2.618148e+00 -1.473872e+01 -1.214090e+01
