# r_Mpc  log10_gbar  log10_gobs
4.932424e-02 -1.149474e+01 -1.185184e+01
7.077381e-02 -1.180837e+01 -1.181306e+01
1.015511e-01 -1.212199e+01 -1.154038e+01
1.457125e-01 -1.243562e+01 -1.137036e+01
2.090784e-01 -1.274924e+01 -1.125642e+01
3.000000e-01 -1.306286e+01 -1.129263e+01
4.304606e-01 -1.337649e+01 -1.148435e+01
6.176545e-01 -1.369011e+01 -1.165541e+01
8.862531e-01 -1.400374e+01 -1.188333e+01
1.271657e+00 -1.431736e+01 -1.226375e+01
1.824661e+00 -1.463099e+01 -1.250046e+01
2.618148e+00 -1.494461e+01 -1.243697e+01
3.756699e+00 -1.525823e+01 -1.302765e+01
